CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.695312 1738257100.8379
MEM 19.781250 1738257100.9386
MEM 28.445312 1738257101.0389
MEM 34.968750 1738257101.1392
MEM 39.816406 1738257101.2395
MEM 46.050781 1738257101.3403
MEM 51.476562 1738257101.4405
MEM 59.632812 1738257101.5411
MEM 102.144531 1738257101.6414
MEM 145.421875 1738257101.7421
MEM 145.421875 1738257101.8430
MEM 145.421875 1738257101.9436
MEM 145.421875 1738257102.0440
MEM 145.421875 1738257102.1451
MEM 145.421875 1738257102.2459
MEM 145.421875 1738257102.3470
MEM 145.421875 1738257102.4482
MEM 145.421875 1738257102.5493
MEM 145.421875 1738257102.6500
MEM 145.429688 1738257102.7506
MEM 145.492188 1738257102.8513
MEM 145.554688 1738257102.9518
MEM 145.617188 1738257103.0526
MEM 145.660156 1738257103.1527
MEM 145.742188 1738257103.2530
MEM 145.867188 1738257103.3534
MEM 145.929688 1738257103.4538
MEM 145.992188 1738257103.5540
MEM 146.117188 1738257103.6547
MEM 146.179688 1738257103.7550
MEM 146.214844 1738257103.8557
MEM 146.304688 1738257103.9562
MEM 146.429688 1738257104.0569
MEM 146.492188 1738257104.1576
MEM 146.554688 1738257104.2583
MEM 146.617188 1738257104.3586
MEM 146.664062 1738257104.4590
MEM 146.742188 1738257104.5597
MEM 146.804688 1738257104.6601
MEM 146.867188 1738257104.7608
MEM 146.929688 1738257104.8614
MEM 146.992188 1738257104.9620
MEM 147.117188 1738257105.0631
MEM 147.179688 1738257105.1639
MEM 147.242188 1738257105.2645
MEM 147.367188 1738257105.3651
MEM 147.429688 1738257105.4657
MEM 147.492188 1738257105.5663
MEM 147.617188 1738257105.6669
MEM 147.640625 1738257105.7675
MEM 147.742188 1738257105.8679
MEM 147.804688 1738257105.9688
MEM 147.867188 1738257106.0696
MEM 147.929688 1738257106.1702
MEM 147.992188 1738257106.2708
MEM 148.054688 1738257106.3712
MEM 148.117188 1738257106.4716
MEM 148.179688 1738257106.5722
MEM 148.242188 1738257106.6730
MEM 148.304688 1738257106.7733
MEM 148.429688 1738257106.8738
MEM 148.492188 1738257106.9744
MEM 148.492188 1738257107.0748
