FUNC __main__.calc_pure_python 60.7539 1738257702.0390 61.7422 1738257703.0855 0
FUNC __main__.calculate_z_serial_purepython 61.7344 1738257702.0413 61.7422 1738257703.0845 1
CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.601562 1738257701.3157
MEM 17.566406 1738257701.4162
MEM 24.539062 1738257701.5165
MEM 31.027344 1738257701.6171
MEM 36.847656 1738257701.7177
MEM 41.875000 1738257701.8180
MEM 49.414062 1738257701.9189
MEM 59.007812 1738257702.0192
MEM 61.734375 1738257702.1198
MEM 61.734375 1738257702.2211
MEM 61.734375 1738257702.3219
MEM 61.734375 1738257702.4228
MEM 61.734375 1738257702.5240
MEM 61.734375 1738257702.6252
MEM 61.734375 1738257702.7261
MEM 61.734375 1738257702.8269
MEM 61.734375 1738257702.9275
MEM 61.734375 1738257703.0278
MEM 60.066406 1738257703.1282
