FUNC __main__.calc_pure_python 60.6836 1738257839.4704 61.8281 1738257840.5154 0
FUNC __main__.calculate_z_serial_purepython 61.8203 1738257839.4732 61.8281 1738257840.5146 1
FUNC .calculate_output_list 61.8203 1738257839.4733 61.8203 1738257840.4744 2
FUNC .calculate_output 61.8203 1738257840.4745 61.8281 1738257840.5146 2
CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.582031 1738257838.7484
MEM 16.996094 1738257838.8487
MEM 25.574219 1738257838.9490
MEM 33.089844 1738257839.0498
MEM 38.105469 1738257839.1500
MEM 44.691406 1738257839.2504
MEM 51.308594 1738257839.3506
MEM 59.050781 1738257839.4512
MEM 61.820312 1738257839.5517
MEM 61.820312 1738257839.6531
MEM 61.820312 1738257839.7539
MEM 61.820312 1738257839.8548
MEM 61.820312 1738257839.9555
MEM 61.820312 1738257840.0566
MEM 61.820312 1738257840.1574
MEM 61.820312 1738257840.2582
MEM 61.820312 1738257840.3588
MEM 61.820312 1738257840.4594
MEM 60.093750 1738257840.5600
