CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\DiffusionProcess.py
MEM 1.585938 1738252326.8705
MEM 20.500000 1738252326.9706
MEM 30.859375 1738252327.0715
MEM 38.085938 1738252327.1718
MEM 45.617188 1738252327.2725
MEM 50.726562 1738252327.3733
MEM 65.664062 1738252327.4737
MEM 77.367188 1738252327.5748
MEM 76.183594 1738252327.6751
MEM 74.683594 1738252327.7759
MEM 74.933594 1738252327.8772
MEM 73.445312 1738252327.9778
MEM 75.437500 1738252328.0789
MEM 74.441406 1738252328.1799
MEM 76.687500 1738252328.2804
MEM 75.441406 1738252328.3806
MEM 76.425781 1738252328.4817
MEM 76.441406 1738252328.5822
MEM 78.449219 1738252328.6831
MEM 77.449219 1738252328.7841
MEM 79.699219 1738252328.8845
MEM 83.699219 1738252328.9849
MEM 81.085938 1738252329.0853
MEM 81.003906 1738252329.1861
MEM 79.507812 1738252329.2870
MEM 81.714844 1738252329.3877
MEM 80.960938 1738252329.4882
MEM 82.460938 1738252329.5893
MEM 83.007812 1738252329.6904
MEM 82.007812 1738252329.7913
MEM 84.007812 1738252329.8920
MEM 83.714844 1738252329.9928
MEM 84.257812 1738252330.0935
MEM 84.007812 1738252330.1939
MEM 84.066406 1738252330.2942
MEM 83.968750 1738252330.3949
MEM 84.015625 1738252330.4952
MEM 83.976562 1738252330.5957
MEM 84.019531 1738252330.6961
MEM 83.968750 1738252330.7972
MEM 84.015625 1738252330.8978
MEM 83.964844 1738252330.9988
MEM 84.011719 1738252331.0993
MEM 83.957031 1738252331.2005
MEM 83.957031 1738252331.3009
MEM 84.007812 1738252331.4018
MEM 83.964844 1738252331.5024
MEM 84.011719 1738252331.6028
MEM 83.964844 1738252331.7037
MEM 84.011719 1738252331.8041
MEM 83.964844 1738252331.9050
MEM 84.007812 1738252332.0062
MEM 83.964844 1738252332.1069
MEM 84.011719 1738252332.2077
MEM 83.960938 1738252332.3088
MEM 84.007812 1738252332.4096
MEM 83.968750 1738252332.5107
MEM 84.011719 1738252332.6120
MEM 83.976562 1738252332.7132
MEM 84.023438 1738252332.8145
MEM 83.980469 1738252332.9149
MEM 83.980469 1738252333.0158
MEM 84.023438 1738252333.1170
MEM 83.972656 1738252333.2173
MEM 83.972656 1738252333.3177
MEM 84.023438 1738252333.4183
MEM 83.980469 1738252333.5187
MEM 83.980469 1738252333.6190
MEM 84.027344 1738252333.7200
MEM 83.980469 1738252333.8204
MEM 83.980469 1738252333.9210
MEM 84.027344 1738252334.0221
MEM 83.980469 1738252334.1229
MEM 84.023438 1738252334.2236
MEM 83.984375 1738252334.3246
MEM 83.984375 1738252334.4249
MEM 84.027344 1738252334.5256
MEM 83.980469 1738252334.6269
MEM 84.023438 1738252334.7273
MEM 84.023438 1738252334.8278
MEM 83.976562 1738252334.9287
MEM 84.023438 1738252335.0291
MEM 84.023438 1738252335.1296
MEM 83.980469 1738252335.2304
MEM 83.980469 1738252335.3315
MEM 84.027344 1738252335.4328
MEM 83.976562 1738252335.5336
MEM 83.976562 1738252335.6341
MEM 84.019531 1738252335.7347
MEM 83.972656 1738252335.8354
MEM 84.019531 1738252335.9359
MEM 84.019531 1738252336.0369
MEM 83.972656 1738252336.1380
MEM 84.015625 1738252336.2385
MEM 83.968750 1738252336.3392
MEM 84.015625 1738252336.4405
MEM 84.015625 1738252336.5408
MEM 83.968750 1738252336.6411
MEM 84.015625 1738252336.7420
MEM 84.015625 1738252336.8429
MEM 83.972656 1738252336.9439
MEM 84.015625 1738252337.0447
MEM 84.015625 1738252337.1458
MEM 83.968750 1738252337.2469
MEM 83.968750 1738252337.3477
MEM 84.015625 1738252337.4489
MEM 84.015625 1738252337.5502
MEM 83.964844 1738252337.6506
MEM 84.015625 1738252337.7514
MEM 84.015625 1738252337.8519
MEM 83.968750 1738252337.9522
MEM 84.015625 1738252338.0533
MEM 83.968750 1738252338.1536
MEM 83.968750 1738252338.2547
MEM 84.015625 1738252338.3559
MEM 83.972656 1738252338.4565
MEM 84.015625 1738252338.5570
MEM 83.972656 1738252338.6577
MEM 83.972656 1738252338.7589
MEM 84.015625 1738252338.8593
MEM 83.972656 1738252338.9597
MEM 83.972656 1738252339.0604
MEM 84.019531 1738252339.1607
MEM 84.019531 1738252339.2611
MEM 83.972656 1738252339.3616
MEM 84.015625 1738252339.4628
MEM 84.015625 1738252339.5633
MEM 83.972656 1738252339.6642
MEM 84.019531 1738252339.7651
MEM 84.019531 1738252339.8659
MEM 83.968750 1738252339.9666
MEM 54.011719 1738252340.0670
